Video name,Unique ID,GuidId,Notification,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitation,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags,,,
Bird Dog Exercise,10012,6dc9eb09-090c-f111-90e2-0ee5bce07997,Bird Dog: Improve core stability and balance—tap to begin.,Bird-Dog,All Ages,All,Balance & Stability,Core,Bodyweight,All,"Acute Low Back Pain / Lumbar Injury, Wrist Pain (acute)",2,8–12 (alternating sides),3–5,30–60 sec,Enhances core stability and coordination between limbs,"1. Start on all fours with hands under shoulders and knees under hips.
2. Extend opposite arm and leg while keeping hips and torso stable.
3. Return to start and alternate sides with control.",Keep hips level and avoid arching the lower back,3,None,Warm up,,,
Chair Squat,10013,6ec9eb09-090c-f111-90e2-0ee5bce07997,Chair Squat: Improve sit-to-stand strength and knee control—tap to begin.,Chair Squat,All Ages,All,Strength,Lower,Bodyweight,Beginner,Knee pain (general / chronic),2,10–15,6–8,60–90 sec,Builds lower body strength and functional mobility,"1. Stand in front of a chair with feet hip-width apart and toes pointing forward.
2. Push hips back and bend knees as if sitting, keeping chest lifted.
3. Lightly touch the chair with your glutes without fully sitting.
4. Drive through heels to stand back up and fully extend hips.",Sit back into your heels and keep chest lifted,3,None,Main workout,,,
CHILD POSE,10014,6fc9eb09-090c-f111-90e2-0ee5bce07997,Child's Pose: Gently stretch your lower back and hips—tap to begin.,Child's Pose,All Ages,All,Flexibility / Stretching,Core,Bodyweight,Beginner,Knee pain (general / chronic),2,20–30s,1–3,15–30 sec,Promotes spinal elongation and relaxation of the back and hips,"1. Kneel on the floor with big toes touching and knees together or slightly apart.
2. Sit back on your heels and reach your arms forward while lowering your torso toward your thighs.
3. Rest your forehead on the mat and breathe evenly while maintaining the stretch.",Breathe deeply and relax hips toward your heels,4,None,Cooldown,,,
Chin Tuck,10015,70c9eb09-090c-f111-90e2-0ee5bce07997,Chin Tucks: Strengthen deep neck flexors and improve head posture—tap to begin.,Chin Tucks ,All Ages,All,Mobility,Upper,Bodyweight,Beginner,Neck pain,2,10–15,2–4,30–60 sec,Improves neck alignment and counters forward head posture,"1. Stand tall with feet hip-width and shoulders relaxed.
2. Keep eyes forward and gently draw your chin straight back, creating a double chin.
3. Hold the tucked position for a few seconds without tilting the head.
4. Release slowly and repeat for the desired repetitions.",Gently retract your chin and lengthen the back of the neck,4,None,Warm up,,,
Cobra pose,10016,71c9eb09-090c-f111-90e2-0ee5bce07997,Cobra Stretch: Extend your spine and open your chest—tap to begin.,Cobra Stretch,All Ages,All,Flexibility / Stretching,Core,Bodyweight,Beginner,Lower back pain (non-specific),2,20–30s,1–3,15–30 sec,Increases thoracic extension and opens the chest,"1. Lie face down with legs extended and hands placed under your shoulders.
2. Press your palms into the floor and straighten your arms to lift your chest while keeping your hips down.
3. Open your chest and look slightly upward without forcing your neck.
4. Lower your torso slowly back to the floor with control.",Press pubic bone into mat and lift chest using upper back control,4,None,Cooldown,,,
Crescent Pose,10017,72c9eb09-090c-f111-90e2-0ee5bce07997,Crescent Pose (Yoga): Stretch hip flexors while building lower-body balance—tap to begin.,Crescent Pose (Yoga),All Ages,All,Flexibility / Stretching,Full,,,General joint stiffness (multi-joint / morning stiffness),2,20–30s,6–8,60–90 sec,Supports maintaining an active routine and overall mobility,"1. Stand with feet hip-width apart and arms relaxed at your sides.
2. Engage your core and lift both arms forward to shoulder height with palms facing down.
3. Lower your arms slowly back to your sides with controlled movement.",Maintain a neutral spine and control movement without holding breath,4,None,Cooldown,,,
DB Lateral Raise,10018,73c9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Lateral Raise: Strengthen side delts for improved shoulder stability—tap to begin.,Dumbbell Lateral Raise,All Ages,All,Strength,Upper,Dumbbell,Intermediate,Rotator cuff weakness / instability,2,10–15,7–9,60–90 sec,Strengthens shoulder abductors and improves lateral shoulder stability,"1. Stand with feet hip-width apart and hold a dumbbell in each hand at your sides.
2. Keep a slight bend in your elbows and raise your arms out to the sides to shoulder height.
3. Pause briefly at the top while keeping your shoulders down and chest open.
4. Lower the dumbbells slowly back to the starting position with control.",Lead with elbows and lift to shoulder height with slow controlled motion,2.8,None,Main workout,,,
Cross-Arm Stretch,10019,74c9eb09-090c-f111-90e2-0ee5bce07997,Cross-Arm Stretch: Improve shoulder mobility with a controlled cross-body stretch—tap to begin.,Cross-Arm Stretch,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60–90 sec,Encourages movement variety and helps prevent stiffness from prolonged sitting,"1. Stand with feet shoulder-width apart.
2. Hinge at the hips and bend your knees to lower into a squat.
3. Keep your chest up and weight on your heels as you descend.
4. Drive through your heels to return to standing.",Keep shoulders down and back to avoid shrugging during the movement,4,None,Warm up,,,
DB Shrugs,10020,75c9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Shrugs: Build upper trapezius strength and neck support—tap to begin.,Dumbbell Shrugs,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,10–15,6–8,60–90 sec,Facilitates gradual mobility gains and supports daily functional movement,"1. Start in a high plank with hands under your shoulders.
2. Bend your elbows to lower your chest toward the ground.
3. Keep a straight line from head to heels as you descend.
4. Push through your hands to return to the starting position.",Breathe steadily and brace core to protect lower back throughout the exercise,4,None,Warm up,,,
Dead Bug,10021,76c9eb09-090c-f111-90e2-0ee5bce07997,Dead Bug: Improve core stability while protecting your lower back—tap to begin.,Dead Bug,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Supports overall mobility and functional movement coordination,"1. Lie on your back with knees bent and feet flat on the floor.
2. Press through your heels and lift your hips toward the ceiling.
3. Squeeze your glutes at the top and hold briefly.
4. Lower your hips back down with control.",Keep a neutral spine and avoid rounding,4,None,Warm up,,,
DB Overhead Tricep Extension,10022,77c9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Overhead Tricep Extension: Isolate and strengthen your triceps overhead—tap to begin.,Dumbbell Overhead Tricep Extension,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Enhances core stability and balance control,"1. Stand tall with feet hip-width apart and shoulders relaxed to begin nan.
2. Hinge at the hips and push the butt back while keeping a neutral spine to lower your torso slightly.
3. Drive through the heels and squeeze the glutes to return to standing and repeat.",Breathe steadily and brace your core,4,None,Warm up,,,
Dumbbell RDL,10023,78c9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Romanian Deadlift: Strengthen hamstrings and reinforce hip hinge mechanics—tap to begin.,Dumbbell Romanian Deadlift,40–59,All,Strength,Lower,Dumbbell,Intermediate,Lower back pain (non-specific),2,8–12,7–9,120-180 sec,Strengthens hamstrings and posterior chain while training hip hinge mechanics,"1. Stand with feet hip-width, hold a bar or dumbbells in front, and keep a slight bend in the knees.
2. Hinge at the hips and push them back while keeping a flat back and sliding the weights down the front of your legs.
3. Lower until you feel a hamstring stretch without rounding the spine.
4. Drive the hips forward, squeeze the glutes, and return to an upright position.",Hinge at hips keeping a neutral spine and soft knees,3.8,"Hypertension, Osteoporosis, Chronic Low Back Pain",Main workout,,,
Dumbbell Floor Press,10024,79c9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Floor Press: Build chest and triceps strength with joint support—tap to begin.,Dumbbell Floor Press,All Ages,All,Strength,Upper,Dumbbell,Intermediate,Shoulder pain (general),2,8–12,7–8,60-90 sec,Builds chest and triceps strength with reduced shoulder strain,"1. Lie on your back on the floor with knees bent, feet flat, and hold dumbbells over your chest.
2. Lower the dumbbells under control until your elbows touch the floor or reach a comfortable end range.
3. Pause briefly with the dumbbells near the chest.
4. Press the dumbbells upward until your arms are fully extended and repeat.",Retract shoulder blades and control the descent,4.5,None,Main workout,,,
Dumbbell Upright Row,10025,7ac9eb09-090c-f111-90e2-0ee5bce07997,Dumbbell Upright Row: Strengthen shoulders and upper traps—tap to begin.,Dumbbell Upright Row,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Promotes joint range of motion and movement efficiency,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Bend your knees slightly and hinge at the hips while reaching your arms forward.
3. Return to standing by driving hips forward and straightening knees.",Maintain controlled tempo and avoid jerky movements,4,None,Warm up,,,
Floor Triceps Dips,10026,7bc9eb09-090c-f111-90e2-0ee5bce07997,Floor Triceps Dips: Improve arm extension strength using bodyweight—tap to begin.,Floor Triceps Dips,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Supports muscular endurance and sustained physical activity,"1. Place forearms on the floor under your shoulders and extend your legs behind you.
2. Engage your core and keep your body in a straight line from head to heels.
3. Hold the position while breathing steadily.",Keep a neutral spine and avoid overarching the lower back,4,None,Warm up,,,
Glute Bridge,10027,7cc9eb09-090c-f111-90e2-0ee5bce07997,Glute Bridges: Activate glutes and support lower-back stability—tap to begin.,Glute Bridges,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Reduced core stability,2,10–15,7–9,60-90 sec,Activates glutes and improves hip extension strength,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Place your arms at your sides and press through your heels.
3. Squeeze your glutes and lift your hips until your body forms a straight line.
4. Pause briefly at the top, then lower your hips back down with control.",Squeeze glutes at the top and maintain a straight line from shoulders to knees,3,None,Warm up,,,
Fly Jacks,10028,7dc9eb09-090c-f111-90e2-0ee5bce07997,Fly Jacks: Elevate heart rate with coordinated arm and leg movement—tap to begin.,Fly Jacks,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Encourages postural alignment and low back stability during movement,"1. Stand tall with feet hip-width apart.
2. Bend knees slightly and hinge at the hips while reaching hands toward the floor.
3. Drive hips forward and stand up tall while squeezing the glutes.",Breathe steadily and avoid holding your breath during exertion,4,None,Warm up,,,
Flutter Kicks,10029,7ec9eb09-090c-f111-90e2-0ee5bce07997,Flutter Kicks: Strengthen lower abdominals with controlled leg motion—tap to begin.,Flutter Kicks,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60-120 sec,Enhances lower body power and coordination in functional tasks,"1. Stand tall with feet together and arms at your sides.
2. Step one foot forward into a shallow lunge while keeping your torso upright.
3. Push through the front heel to return to standing and repeat on the other side.",Keep shoulders down and away from ears to prevent neck tension,4,None,Warm up,,,
High Knee March,10030,7fc9eb09-090c-f111-90e2-0ee5bce07997,High Knee March: Improve hip flexor strength and single-leg balance—tap to begin.,High Knee March,All Ages,All,Cardio,Lower,Bodyweight,Beginner,Limited single-leg balance,2,30–60,5–7,30-60 sec,Raises heart rate modestly and improves leg drive and coordination,"1. Stand tall with feet hip-width apart and arms relaxed at your sides.
2. Lift one knee toward hip level while swinging the opposite arm forward.
3. Step down and immediately lift the other knee to the same height.
4. Continue alternating knees at a controlled walking pace.",Land softly and keep core tall while driving knees to hip height,4,None,Warm up,,,
Good Morning,10031,80c9eb09-090c-f111-90e2-0ee5bce07997,Good Mornings (Bodyweight): Reinforce hip hinge pattern and posterior chain activation—tap to begin.,Good Mornings (Bodyweight),40–59,All,Strength,Lower,Bodyweight,Beginner,Lower back pain (non-specific),2,10–15,6–8,60–90 sec,Strengthens posterior chain and improves hip hinge mechanics,"1. Stand with feet hip-width apart, knees soft, and hands behind your head.
2. Hinge at the hips and push your hips back while keeping your spine neutral and chest lifted.
3. Lower until your torso is parallel to the floor or you feel tension in the hamstrings.
4. Drive your hips forward to return to standing and squeeze your glutes.",Hinge at the hips with a neutral spine and chest lifted,3.4,None,Main workout,,,
Hamstring Sweeps,10032,81c9eb09-090c-f111-90e2-0ee5bce07997,Hamstring Sweeps: Dynamically stretch hamstrings to prepare for movement—tap to begin.,Hamstring Sweeps,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Improves overall mobility and functional movement,"1. Stand tall with feet hip-width apart and hands on your hips.
2. Step one foot forward and lower your back knee toward the floor until both knees are about 90 degrees.
3. Keep your torso upright and your weight in the front heel.
4. Push through the front heel to return to standing and repeat on the other side.",Maintain a tall neutral spine and steady breathing,4,None,Warm up,,,
Inchworm,10033,82c9eb09-090c-f111-90e2-0ee5bce07997,Inchworm: Improve hamstring flexibility and shoulder stability—tap to begin.,Inchworm,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60–90 sec,Supports balance and coordination during dynamic activities,"1. Lie on your back with knees bent, feet flat hip-width apart, and arms at your sides.
2. Press through your heels and lift your hips until your body forms a straight line from knees to shoulders.
3. Squeeze your glutes at the top and hold for one second.
4. Lower your hips slowly back to the floor with control.",Use a slow controlled tempo and brace your core,4,None,Warm up,,,
Incline Push-Up,10034,83c9eb09-090c-f111-90e2-0ee5bce07997,Incline Push-Ups: Build upper-body pushing strength with reduced load—tap to begin.,Incline Push-Ups,All Ages,All,Strength,Upper,Bodyweight,Beginner,Shoulder pain (general),2,8–15,6–8,60–90 sec,Builds upper body pressing strength with reduced load compared to standard push-ups,"1. Place your hands shoulder-width on a sturdy elevated surface and extend your legs behind you in a straight line.
2. Bend your elbows and lower your chest toward the edge while keeping your body rigid.
3. Stop when your chest is close to the surface and your elbows are angled near 45 degrees.
4. Push through your palms to straighten your arms and return to the starting position.",Keep shoulders packed and body in a straight line,3.5,None,Main workout,,,
Jumping jacks,10035,84c9eb09-090c-f111-90e2-0ee5bce07997,Jumping Jacks: Increase heart rate with full-body coordination—tap to begin.,Jumping jacks,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Enhances muscular endurance and joint stability,"1. Stand tall with feet hip-width and arms relaxed at your sides.
2. Hinge at the hips and reach your hands forward while keeping a soft bend in the knees.
3. Reverse the hinge by driving the hips forward and return to standing.",Align neck with spine and exhale on exertion,4,None,Warm up,,,
Leg Swings,10036,85c9eb09-090c-f111-90e2-0ee5bce07997,Leg Swings: Improve hip mobility and movement range—tap to begin.,Leg Swings ,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–12,2–4,15–30 sec,Improves hip mobility and dynamic flexibility for gait and athletic movements,"1. Stand beside a support and place one hand on it for balance.
2. Swing the free leg forward a small distance with controlled motion, then swing it back the same small distance.
3. Keep your torso upright and repeat the small forward-and-back swings for the desired reps, then switch legs.",Brace core and keep hips square while swinging with controlled range,4,None,Warm up,,,
Knee Push up,10037,86c9eb09-090c-f111-90e2-0ee5bce07997,Knee Push Up: Develop chest and triceps strength with modified load—tap to begin.,Knee Push up,All Ages,All,Strength,Upper,Bodyweight,,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Promotes blood flow and warms muscles before exercise,"1. Stand with feet shoulder-width apart and toes slightly turned out.
2. Push hips back and bend knees to lower into a squat until thighs are parallel to the floor.
3. Drive through your heels to return to standing and squeeze your glutes at the top.",Maintain neutral spine and soft knees during movement,4,None,Warm up,,,
Incline Mountain Climbers,10038,87c9eb09-090c-f111-90e2-0ee5bce07997,Incline Mountain Climbers: Engage core and shoulders at a controlled tempo—tap to begin.,Incline Mountain Climbers ,40–59,All,Mobility,Core,Bodyweight,Beginner,Reduced core stability,2,8–12,6–8,30–60 sec,Develops core stability while challenging shoulder and hip coordination,"1. Place hands shoulder-width apart on a sturdy elevated surface and step back into a plank with a straight body.
2. Pull one knee slowly toward your chest while keeping hips level and core engaged.
3. Extend that leg back while bringing the opposite knee toward your chest in a controlled, slow rhythm.
4. Continue alternating knees slowly while maintaining a flat spine.",Drive opposite knee toward chest while keeping hips level and core braced,5,None,Warm up,,,
Lying Windshield Wipers Level-1,10039,88c9eb09-090c-f111-90e2-0ee5bce07997,Lying Windshield Wipers Level-1: Improve trunk rotation control safely—tap to begin.,Lying Windshield Wipers Level-1,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Supports proprioception and body awareness during controlled movements,"1. Lie on your back with knees bent, feet flat hip-width apart, and arms at your sides.
2. Press through your heels and lift your hips until your body forms a straight line from shoulders to knees.
3. Lower your hips back down with control and repeat.",Exhale on effort and inhale on reset to maintain rhythm and control,4,None,Warm up,,,
Modified Butt Kicks,10040,89c9eb09-090c-f111-90e2-0ee5bce07997,Modified Butt Kicks: Activate hamstrings with low-impact cardio—tap to begin.,Modified Butt Kicks,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60–90 sec,Aids recovery and reduces muscle stiffness after exercise,"1. Stand with feet hip-width apart and toes facing forward.
2. Bend at the hips and knees to lower into a squat while keeping your chest upright.
3. Push through your heels to return to standing and squeeze your glutes at the top.
4. Repeat smoothly for the desired number of repetitions.",Align shoulders over wrists and maintain scapular stability throughout each rep,4,None,Warm up,,,
Neck Tilts,10041,8ac9eb09-090c-f111-90e2-0ee5bce07997,Neck Tilts: Improve lateral neck mobility and reduce stiffness—tap to begin.,Neck Tilts,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,10–12,5–7,60–90 sec,Promotes overall movement quality and functional mobility,"1. Start in a high plank with hands under your shoulders and your body in a straight line.
2. Bend your elbows and lower your chest toward the floor while keeping your core engaged.
3. Press through your palms to extend your elbows and return to the starting position.
4. Repeat with controlled tempo for the desired number of repetitions.",Maintain neutral spine and steady breath,4,None,Warm up,,,
Kneeling Hip Flexor Stretch,10042,8bc9eb09-090c-f111-90e2-0ee5bce07997,Kneeling Hip Flexor Stretch: Release tight hip flexors and improve stride mechanics—tap to begin.,Kneeling Hip Flexor Stretch,All Ages,All,Flexibility / Stretching,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,20–30s,3–5,30–60 sec,Improves hip flexor flexibility and anterior hip mobility,"1. Kneel on one knee and step the opposite foot forward so the front knee sits above the ankle.
2. Tuck your pelvis and gently shift your hips forward until you feel a stretch in the front of the hip on the kneeling leg.
3. Keep your torso upright and avoid arching your lower back.
4. Hold for the desired time, then switch sides and repeat.",Keep ribcage down and posteriorly tilt pelvis before pressing hips forward,2.1,None,Cooldown,,,
PLANK,10043,8cc9eb09-090c-f111-90e2-0ee5bce07997,Forearm Plank: Build deep core endurance and spinal stability—tap to begin.,Forearm Plank,40–59,All,Strength,Core,Bodyweight,Beginner,Reduced core stability,2,20–30,6–8,60–90 sec,Builds core endurance and spinal stability,"1. Place forearms on the floor with elbows under shoulders and palms flat or hands clasped.
2. Extend legs behind you and press toes into the floor to form a straight line from head to heels.
3. Engage core and glutes to keep hips level and neck neutral.
4. Breathe steadily and hold the position for the desired duration.",Brace core and keep hips level with shoulders avoiding sagging lower back,3,"Hypertension, Coronary Artery Disease",Main workout,,,
Plank Shoulder Taps,10044,8dc9eb09-090c-f111-90e2-0ee5bce07997,Plank Shoulder Taps: Improve anti-rotation core strength and shoulder control—tap to begin.,Plank Shoulder Taps,All Ages,All,Mobility,Full,,,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,60–90 sec,Supports joint range of motion and functional strength,"1. Stand tall with feet shoulder-width apart and arms by your sides.
2. Raise both arms straight overhead while keeping your torso upright.
3. Lower your arms back to your sides and bend your knees into a shallow squat, then stand up.",Maintain neutral spine and controlled movement,4,None,Warm up,,,
Prone Snow Angels,10045,8ec9eb09-090c-f111-90e2-0ee5bce07997,Reverse Snow Angels (Prone): Strengthen rear shoulders and postural muscles—tap to begin.,Reverse Snow Angels (Prone),All Ages,All,Mobility,Upper,Bodyweight,Beginner,Limited shoulder range of motion,2,8–12,4–6,30–60 sec,Enhances posterior shoulder mobility and upper back activation,"1. Lie face down with legs extended and forehead resting on the floor.
2. Extend arms overhead with palms down and keep your neck neutral.
3. Lift chest and arms slightly off the floor and sweep arms out to the sides and down toward your hips with elbows soft.
4. Reverse the motion to return arms overhead and lower your chest to the floor with control.",Keep neck neutral and glide shoulder blades together without shrugging,2.8,None,Warm up,,,
Puppy Pose,10046,8fc9eb09-090c-f111-90e2-0ee5bce07997,Puppy Pose: Lengthen the spine and open the shoulders—tap to begin.,Puppy  Pose,All Ages,All,Mobility,Upper,Bodyweight,Beginner,Limited shoulder range of motion,2,8–12,3–5,30–60 sec,Opens the chest and gently mobilizes the thoracic spine,"1. Start on hands and knees with hips over knees and arms extended forward.
2. Walk your hands forward while keeping your hips lifted over your knees.
3. Lower your chest toward the mat and rest your forehead or chin on the floor.
4. Relax your shoulders and breathe steadily while maintaining a long spine.",Keep hips over knees and lengthen spine while inhaling and exhaling slowly,4,None,Warm up,,,
